呼,呼 call  コ  よ.ぶ to call
校,校 exam  コウ
武,武 military  ブ  ム
共,共 together  キョウ  とも
計,"計 arrange  ケイ  はか.らう to arrange  はか.る to measure, compute"
残,残 remain  ザン  のこ.る to remain behind  のこ.す to leave behind
判,判 seal  ハン  バン
役,役 office  ヤク  エキ
城,城 castle  ジョウ  しろ
院,院 institution  イン
他,他 other  タ  ほか
総,総 general  ソウ
術,術 technique  ジュツ
支,支 support  シ  ささ.える to support
送,"送 send  ソウ  おく.る to send, to escort"
族,族 tribe  ゾク
両,両 both  リョウ
乗,乗 load; power  ジョウ  の.る to board  の.せる to load on
団,団 group  ダン  トン
松,松 pine tree  ショウ  まつ
映,"映 shine  エイ  は.える to shine  うつ.る to be reflected  うつ.す to reflect, project"
応,"応 satisfy  オウ  👌おう.じる to satisfy, reply, comply  こた.える to respond to"
済,済 finish  サイ  す.む to be finished  す.ます to be through with
線,線 line  セン
買,買 buy  バイ  か.う to buy
設,"設 prepare  セツ  もう.ける to prepare (for), provide"
右,右 right  ウ  ユウ  みぎ
供,"供 servant  キョウ  ク  そな.える to make an offering  とも servant, attendant"
格,格 status  カク  コウ
病,病 illness  ヘイ  ビョウ  やまい  や.む to fall ill
打,打 strike  ダ  う.つ to strike
視,視 see  シ
早,"早 early; fast  ソウ  サッ  はや.い early  はや.まる be hasty  はや.める to expedite, to hasten"
勢,"勢 vigorous  セイ  いきお.い vigour, energy"
御,御 honorific prefix  ゴ  ギョ  おん-
断,"断 refuse  ダン  ことわ.る to refuse, to decline  た.つ to cut off"
式,式 ceremony  シキ
質,質 quality  シツ  シチ  チ
師,師 teacher  シ
台,台 pedestal; platform  ダイ  タイ
党,党 party  トウ
告,告 announce  コク  つ.げる to announce
深,深 deep  シン  ふか.い  ふか.める to fill  ふか.まる to deepen
存,存 suppose  ソン  ゾン
争,"争 contend  ソウ  あらそ.う to contend, to compete, to contest; to argue, to dispute"
室,"室 room  シツ  むろ drying room, hothouse"
覚,"覚 remember  カク  おぼ.える to remember  さ.める to awake  さ.ます to rouse, awaken"
史,史 history  シ
側,側 side  ソク  がわ
飛,飛 fly  ヒ  と.ぶ to fly  と.ばす to let fly
参,"参 visit  サン  まい.る to visit, go, come"
可,可 good; possible  カ
態,態 condition  タイ
営,"営 occupied  エイ  いとな.む to be occupied with, to carry on (a business)"
府,府 borough  フ
突,突 poke  トツ  つ.く to poke
巻,"巻 roll up  カン  ま.く to roll (up)  まき roll, reel, volume"
容,容 contents  ヨウ
姿,"姿 appearance  シ  すがた appearance, form, shape"
育,"育 grow up  イク  そだ.つ to grow up  そだ.てる  はぐく.む to raise, to rear"
介,介 mediate  カイ
建,建 build  ケン  コン  た.つ to be built  た.てる to build
南,南 south  ナン  ナ  みなみ
構,"構 build  コウ  かま.える to build, set up, get ready  かま.う to mind, to care about"
認,"認 recognize  ニン  みと.める to recognize, to perceive, to approve of"
位,位 rank  イ  くらい
達,達 arrive  タツ
転,転 roll  テン  ころ.がる to roll (intr.)  ころ.がす to roll (tr.)  ころ.げる to roll about  ころ.ぶ to fall over
左,左 left  サ  ひだり
皇,皇 emperor  コウ  オウ
宮,"宮 palace  ク  キュウ  グウ  みや palace, shrine"
